x1,x2,label
8.1,10.35,1
5.7,7.4,1
10.95,6.65,1
1.4,10.85,1
11.85,10.6,1
9.6,8.6,1
3.65,11.5,1
6.9,14.4,1
11,13.9,1
1.3,14.7,1
7.3,12.7,1
4.9,10.5,1
11.55,11.95,1
4.4,4.35,1
11.15,3.8,1
8.4,6.15,1
16.1,10.35,1
15.45,6.9,1
13.6,8.65,1
15.8,14.3,1
8.45,15.55,1
16.35,13.45,1
13.75,10.65,1
6.75,14.5,1
3.65,13.95,1
10.2,10.55,1
4.8,7.1,1
15.7,6.65,1
29.85,14.4,0
33.9,11.9,1
22.45,10.65,0
32.25,7.45,1
33.4,9.15,0
31.05,10.6,1
32.55,12.6,0
34,15,1
30.45,12.65,1
41.4,4.7,1
41.15,6.8,1
38.1,5.2,1
20.1,16.6,1
23.45,16.15,0
27.1,2.35,0
23.05,0.9,0
26.75,1.1,0
24.75,1.85,0
26.3,1.9,0
24.4,0.95,1
25.85,1.1,1
2.15,6.05,0
1.55,3.25,0
5.55,1.7,0
9.55,3.55,0
8.65,0.3,0
6.8,3.6,0
15.8,2.45,0
13.1,-0.05,0
13.55,3.15,0
16.5,5.2,0
19.05,4.2,0
17.7,1.55,0
22.05,2.2,0
21.95,3.8,0
18.35,7.15,0
20.1,8.3,0
23.15,7.55,0
24.4,6,0
22.05,5.65,0
24.65,4.5,0
26,3.6,0
28.45,4.05,0
31.25,4.8,0
31.15,2.65,0
28.1,1.8,0
31.2,0.7,0
35.35,1.8,0
38.7,1.15,0
42.05,1.4,0
37.95,2.65,0
34.9,3.5,0
31.8,4.25,0
33.9,5.15,0
37.75,7.65,0
38.4,8.05,0
41.35,9.4,0
36.6,7.6,0
33.9,7.05,0
37.65,10.6,0
40.95,11.25,0
37.6,9.55,0
34.45,10.45,0
36.6,10.95,0
36.35,13,0
38.9,14.3,0
39.3,13.2,0
38,11.8,0
42,13.75,0
40.75,16.3,0
38.2,16.75,0
35.35,17.35,0
38.05,14.95,0
35.8,15.2,0
32.75,17.55,0
32.6,16.1,0
29.3,17.6,0
30.35,16.15,0
27.4,16.2,0
27.6,18.95,0
27,15.75,0
29.95,12.6,0
27.4,12.3,0
27.65,13.95,0
27.8,10.8,0
27.2,9,0
30.8,8.85,0
28.05,7.2,0
27.9,6.4,0
24.55,8.5,0
25.6,11.5,0
23.15,12.65,0
23.15,13.85,0
20.05,13.1,0
19.9,10.8,0
17.25,10.65,0
21.45,12,0
18.35,8.95,0
17.15,8.3,0
19.1,14.1,0
18.75,16.75,0
17.15,14.1,0
18.35,10.85,0
21.35,14.85,0
21,13.15,0
24.45,17.85,0
21.2,18.4,0
16.4,18.75,0
15.3,16.25,0
12.3,17.25,0
13.25,15.05,0
10.25,17.9,0
7.75,18.45,0
5.3,16.9,0
1.5,18.7,0
3.4,16.55,0
6,14.75,0
6.25,13.2,0
6.5,12.45,0
6.7,11.6,0
10.25,15.45,0
9.45,14.4,0
8.9,12.8,0
8.35,11.25,0
11.75,2.15,0
7.75,1.2,0
4.3,0.8,0
1.45,1,0
4.85,2.8,0
1.25,5.3,0
2.95,3.45,0
13.45,1.85,0
10.4,0.95,0
18.2,0.65,0
15.3,0.7,0
18.75,4.25,0
20.35,1.9,0
16,3.15,0
20.05,5.3,0
22.65,9.05,0
20.8,5.35,0
20.2,1.25,0
25.8,6.15,0
26.85,3.9,0
25.85,8.75,0
30.6,6.95,0
28.55,4.1,0
30.35,2.05,0
29.15,1.05,0
33.4,2.5,0
34.3,1.1,0
35.45,4.45,0
36.95,2.9,0
35.75,8.05,0
37.9,10.15,0
41.55,11.9,0
40.85,13.55,0
32.9,15.4,0
27.3,15.5,0
25,12.55,0
25.35,13.65,0
25.05,16.65,0
26.25,17.25,0
22.3,18.75,0
18.7,18.4,0
17.3,17.5,0
17.35,16.4,0
3.45,13.95,1
1.85,12.15,1
1.3,9.4,1
2.95,8.1,1
4.15,9.95,1
2.65,9.75,1
7.45,8.05,1
6.35,5.6,1
9.25,5.45,1
12.1,5.65,1
12.1,7.15,1
6.35,9.2,1
10.55,11.15,1
7.45,14.35,1
7.6,11.15,1
7.05,8.5,1
15.7,12.7,1
12.9,11.75,1
10.5,8.2,1
6.3,7.85,1
10.1,9.6,1
4.4,8.05,1
11.8,8.75,1
14.6,8.1,1
8.3,8.4,1
4.45,8.8,1
1.6,8.7,1
8.95,7.15,1
5.25,5.95,1
14.05,6.8,1
10,5.5,1
6.45,5.05,1
14.5,13.75,1
12.35,12.25,1
12.65,13.75,1
15.6,11.8,1
14,9.95,1
22.1,16.75,1
21.1,17.25,1
24.15,16.55,1
24.25,3.45,1
23.8,2.75,1
23.55,1.7,1
31.45,13.9,0
31.4,11.55,1
32.85,10.25,0
32.35,8.75,0
33.95,14.3,1
32.3,12.85,0
31.85,14.45,0
34.45,13.8,1
