x1,x2,label
4.3,16.35,1
10.25,15.55,1
4.3,14.05,1
9.8,12.75,1
3.05,11,1
16.4,16.15,1
16.15,12.65,1
13.05,14.45,1
14.3,11.15,1
7.25,12.05,1
8.45,15.65,1
24.5,6.15,1
25.9,2.95,1
23.85,9.05,1
32.05,7.45,1
28.8,6.95,1
30.3,4.35,1
33.45,4.2,1
35.9,5.6,1
33.45,8.95,1
29.2,8.95,1
35.3,2.9,1
30.25,2.75,1
27.5,5.65,1
5.6,8.3,0
13.25,7.95,0
9,7.55,0
16.8,7.55,0
17.75,5.1,0
12.2,5.3,0
6.3,4.45,0
2.5,5.45,0
10.05,4.8,0
7.6,2.65,0
17.95,2.5,0
13.25,2.8,0
16.3,5.65,0
24.15,14.65,0
30,12.65,0
27.15,15.75,0
25.5,12.65,0
34.9,15.65,0
34.15,13.15,0
30.9,15.3,0
36.95,12.35,0
28.25,13.95,0
32.3,11.85,0
25.2,16.7,0
30.4,17.1,0
22.5,12.15,0
